취급품목,count
한식,11604
의류,10543
수산물,4084
농산물,2386
건어물,2281
야채,2248
생선,2191
과일,2116
분식,1798
식육,1754
떡,1645
채소,1620
음식점,1593
음식,1587
커피,1572
잡화,1552
미용,1432
치킨,1396
화장품,1274
신발,1236
반찬,1216
미용실,1169
축산물,1090
안경,798
정육,776
중식,729
귀금속,664
기타,636
가구,624
미용업,590
활어,571
의약품,568
카페,560
식품,553
육류,548
두부,540
슈퍼,533
족발,521
한복,517
여성의류,514
이불,502
속옷,494
일식,472
편의점,466
청과,460
참기름,455
젓갈,403
닭,400
도소매(의류),377
음식(한식),354
인삼,344
회,341
수산,335
내의,325
철물,322
양약,318
피자,315
약국,312
네일,311
슈퍼마켓,308
