소재지,가맹점수
강원,5916
경기,22089
경남,9424
경북,8742
광주,14396
대구,10052
대전,5404
부산,12283
서울,24187
세종,1749
울산,4014
인천,6675
전남,5937
전북,6178
제주,2806
충남,6067
충북,4582
